,is_well_nested,ms,ee,perm,i
0,True,0.33860639393485503,1.9617528186670001,"(0, 1, 2, 3, 4, 5)",0
360,True,0.33860639393485503,1.9617528186670001,general_0,1
120,True,0.34062356187046666,1.9639087824855452,"(1, 0, 2, 3, 4, 5)",2
1,False,0.34146563687681103,1.9641017871535362,"(0, 1, 2, 3, 5, 4)",3
121,False,0.3429971830628007,1.9662577509720809,"(1, 0, 2, 3, 5, 4)",4
264,True,0.34168743102169474,1.9663275400030724,"(2, 1, 0, 3, 4, 5)",5
5,True,0.34285615975309747,1.966379013517182,"(0, 1, 2, 5, 4, 3)",6
4,True,0.343155771666043,1.966461238860014,"(0, 1, 2, 5, 3, 4)",7
2,True,0.34193368724164697,1.9664993108322908,"(0, 1, 2, 4, 3, 5)",8
6,False,0.3422210140771208,1.966645566933545,"(0, 1, 3, 2, 4, 5)",9
144,False,0.34220356776555005,1.9671698016418127,"(1, 2, 0, 3, 4, 5)",10
24,False,0.3421675495084791,1.9672452192694505,"(0, 2, 1, 3, 4, 5)",11
125,True,0.3437343187373062,1.968534977335727,"(1, 0, 2, 5, 4, 3)",12
240,True,0.3426497982262515,1.9685589214492554,"(2, 0, 1, 3, 4, 5)",13
124,True,0.34406704620791995,1.9686172026785602,"(1, 0, 2, 5, 3, 4)",14
122,True,0.34271161087588353,1.9686552746508355,"(1, 0, 2, 4, 3, 5)",15
265,False,0.3434118918235625,1.968676508489608,"(2, 1, 0, 3, 5, 4)",16
3,False,0.3433851692124019,1.9687660539759928,"(0, 1, 2, 4, 5, 3)",17
126,False,0.34311038488582934,1.9688015307520899,"(1, 0, 3, 2, 4, 5)",18
23,False,0.3434199656381554,1.9689522050087145,"(0, 1, 5, 4, 3, 2)",19
305,False,0.3434199656381558,1.9689522050087158,"(2, 3, 4, 5, 1, 0)",20
7,False,0.3439961929338116,1.9689945354200793,"(0, 1, 3, 2, 5, 4)",21
19,False,0.34435315773913333,1.969002726093387,"(0, 1, 5, 2, 4, 3)",22
18,False,0.3441058921673701,1.969084951436219,"(0, 1, 5, 2, 3, 4)",23
22,False,0.3445110508120628,1.9691137281858324,"(0, 1, 5, 4, 2, 3)",24
294,False,0.3434141044665725,1.9692212240121292,"(2, 3, 1, 0, 4, 5)",25
145,False,0.34395707418549043,1.969518770128348,"(1, 2, 0, 3, 5, 4)",26
25,False,0.3437872843914001,1.969594187755986,"(0, 2, 1, 3, 5, 4)",27
270,False,0.343411776137275,1.9698685191051342,"(2, 1, 3, 0, 4, 5)",28
150,False,0.3434250751877375,1.9707107807438742,"(1, 2, 3, 0, 4, 5)",29
241,False,0.3447780416115033,1.9709078899357906,"(2, 0, 1, 3, 5, 4)",30
123,False,0.3446557810108901,1.970922017794538,"(1, 0, 2, 4, 5, 3)",31
269,True,0.34356187289692663,1.9709537348532542,"(2, 1, 0, 5, 4, 3)",32
268,True,0.3445348809192612,1.9710359601960876,"(2, 1, 0, 5, 3, 4)",33
266,True,0.3433717953233939,1.9710740321683626,"(2, 1, 0, 4, 3, 5)",34
143,False,0.3434547772988379,1.971108168827261,"(1, 0, 5, 4, 3, 2)",35
304,False,0.3434547772988379,1.971108168827261,"(2, 3, 4, 5, 0, 1)",36
127,False,0.3442764731141388,1.9711504992386255,"(1, 0, 3, 2, 5, 4)",37
139,False,0.3449526038146487,1.9711586899119318,"(1, 0, 5, 2, 4, 3)",38
138,False,0.34464714755340414,1.9712409152547652,"(1, 0, 5, 2, 3, 4)",39
142,False,0.3447318067484916,1.9712696920043788,"(1, 0, 5, 4, 2, 3)",40
8,False,0.3441544554743581,1.9715025369530301,"(0, 1, 3, 4, 2, 5)",41
17,False,0.34512936742893635,1.9715387302225906,"(0, 1, 4, 5, 3, 2)",42
311,False,0.34512936742893674,1.9715387302225917,"(2, 3, 5, 4, 1, 0)",43
295,False,0.3445576959238014,1.9715701924986646,"(2, 3, 1, 0, 5, 4)",44
302,False,0.3438406089287658,1.971609872398476,"(2, 3, 4, 1, 0, 5)",45
288,False,0.34388952885291857,1.9716432742795187,"(2, 3, 0, 1, 4, 5)",46
16,False,0.3449658569014528,1.9717002533997088,"(0, 1, 4, 5, 2, 3)",47
12,False,0.3442974148301352,1.971709548622372,"(0, 1, 4, 2, 3, 5)",48
149,False,0.34471654894613496,1.971795996491994,"(1, 2, 0, 5, 4, 3)",49
14,False,0.34366368903101646,1.9718200264765664,"(0, 1, 4, 3, 2, 5)",50
29,False,0.3448710971136558,1.971871414119632,"(0, 2, 1, 5, 4, 3)",51
148,False,0.34511829510326203,1.9718782218348274,"(1, 2, 0, 5, 3, 4)",52
146,False,0.3443160002006995,1.9719162938071024,"(1, 2, 0, 4, 3, 5)",53
28,False,0.34559488770205626,1.9719536394624657,"(0, 2, 1, 5, 3, 4)",54
26,False,0.34427695263981456,1.9719917114347403,"(0, 2, 1, 4, 3, 5)",55
271,False,0.34490168700858775,1.97221748759167,"(2, 1, 3, 0, 5, 4)",56
101,False,0.3448717543658256,1.9724013901852542,"(0, 5, 1, 4, 3, 2)",57
303,False,0.344871754365826,1.9724013901852553,"(2, 3, 4, 1, 5, 0)",58
97,False,0.3452200539352498,1.9724519112699253,"(0, 5, 1, 2, 4, 3)",59
296,False,0.34412268960950765,1.972527138924333,"(2, 3, 1, 4, 0, 5)",60
96,False,0.34428758293294665,1.9725341366127587,"(0, 5, 1, 2, 3, 4)",61
100,False,0.34490900916996003,1.9725629133623723,"(0, 5, 1, 4, 2, 3)",62
48,False,0.34449016572216107,1.9725811799358803,"(0, 3, 1, 2, 4, 5)",63
151,False,0.34481830052470597,1.97305974923041,"(1, 2, 3, 0, 5, 4)",64
272,False,0.3446473276259282,1.9731744340173385,"(2, 1, 3, 4, 0, 5)",65
245,True,0.3454091915557076,1.973185116299437,"(2, 0, 1, 5, 4, 3)",66
30,False,0.3447961236141805,1.973208248638902,"(0, 2, 3, 1, 4, 5)",67
244,True,0.3457415954491344,1.9732673416422701,"(2, 0, 1, 5, 3, 4)",68
242,True,0.3448751164267666,1.9733054136145454,"(2, 0, 1, 4, 3, 5)",69
297,False,0.3453573217029886,1.9733186567111125,"(2, 3, 1, 4, 5, 0)",70
115,False,0.3453573217029886,1.9733186567111125,"(0, 5, 4, 1, 3, 2)",71
267,False,0.3449400975577247,1.973340775312065,"(2, 1, 0, 4, 5, 3)",72
21,False,0.34557249945025353,1.973464691938342,"(0, 1, 5, 3, 4, 2)",73
329,False,0.3455724994502539,1.9734646919383434,"(2, 4, 3, 5, 1, 0)",74
114,False,0.3451270372241491,1.9734801798882309,"(0, 5, 4, 1, 2, 3)",75
359,False,0.34490497869563297,1.9736077569196142,"(2, 5, 4, 3, 1, 0)",76
9,False,0.34490497869563297,1.9736077569196142,"(0, 1, 3, 4, 5, 2)",77
54,False,0.3442293134200748,1.9736514610387876,"(0, 3, 2, 1, 4, 5)",78
128,False,0.3448775899173334,1.9736585007715748,"(1, 0, 3, 4, 2, 5)",79
137,False,0.3457399432600381,1.973694694041137,"(1, 0, 4, 5, 3, 2)",80
310,False,0.3457399432600381,1.973694694041137,"(2, 3, 5, 4, 0, 1)",81
20,False,0.3460717533167012,1.9737084404582936,"(0, 1, 5, 3, 2, 4)",82
136,False,0.34574584089955407,1.9738562172182552,"(1, 0, 4, 5, 2, 3)",83
132,False,0.344954253427159,1.9738655124409168,"(1, 0, 4, 2, 3, 5)",84
353,False,0.34572617901040775,1.973925246443151,"(2, 5, 3, 4, 1, 0)",85
15,False,0.34572617901040775,1.973925246443151,"(0, 1, 4, 3, 5, 2)",86
273,False,0.3450882420604583,1.973965951804118,"(2, 1, 3, 4, 5, 0)",87
118,False,0.3450882420604584,1.9739659518041182,"(0, 5, 4, 3, 1, 2)",88
134,False,0.34430259217725984,1.9739759902951115,"(1, 0, 4, 3, 2, 5)",89
13,False,0.3450742504633519,1.9739762917660741,"(0, 1, 4, 2, 5, 3)",90
289,False,0.34556984755102604,1.9739922427660541,"(2, 3, 0, 1, 5, 4)",91
152,False,0.3439150691643456,1.9740166956560785,"(1, 2, 3, 4, 0, 5)",92
300,False,0.34442282070356833,1.9740176361638488,"(2, 3, 4, 0, 1, 5)",93
147,False,0.3455017434057457,1.9741830369508049,"(1, 2, 0, 4, 5, 3)",94
