,is_well_nested,ms,ee,perm,i
0,True,0.3319012619855722,1.9475923579548837,"(0, 1, 2, 3, 4, 5)",0
120,True,0.33223652996268693,1.9479252816341242,"(1, 0, 2, 3, 4, 5)",1
1,False,0.33227067436578084,1.947929332503448,"(0, 1, 2, 3, 5, 4)",2
24,False,0.3323314193686334,1.9481856782140619,"(0, 2, 1, 3, 4, 5)",3
144,False,0.3324576452991397,1.9481863402999822,"(1, 2, 0, 3, 4, 5)",4
121,False,0.3325566745221359,1.9482622561826886,"(1, 0, 2, 3, 5, 4)",5
4,True,0.3325258371932002,1.9482673079279378,"(0, 1, 2, 5, 3, 4)",6
5,True,0.33248494055128197,1.9482674146814314,"(0, 1, 2, 5, 4, 3)",7
2,True,0.3323609056127941,1.948268061935616,"(0, 1, 2, 4, 3, 5)",8
264,True,0.33243951496295915,1.9482684105347556,"(2, 1, 0, 3, 4, 5)",9
6,False,0.3323856905286796,1.9482699758140478,"(0, 1, 3, 2, 4, 5)",10
150,False,0.33260810806560986,1.9484490761834827,"(1, 2, 3, 0, 4, 5)",11
25,False,0.3325541458172284,1.9485226527626263,"(0, 2, 1, 3, 5, 4)",12
145,False,0.332713468831419,1.9485233148485468,"(1, 2, 0, 3, 5, 4)",13
270,False,0.3326574028679161,1.9485311464182562,"(2, 1, 3, 0, 4, 5)",14
124,True,0.3327463151696813,1.9486002316071784,"(1, 0, 2, 5, 3, 4)",15
125,True,0.33271235250541276,1.9486003383606725,"(1, 0, 2, 5, 4, 3)",16
240,True,0.3325230601854447,1.9486006721280755,"(2, 0, 1, 3, 4, 5)",17
122,True,0.3325476897617057,1.9486009856148565,"(1, 0, 2, 4, 3, 5)",18
305,False,0.3325895879429502,1.9486018909303786,"(2, 3, 4, 5, 1, 0)",19
23,False,0.3325895879429502,1.9486018909303786,"(0, 1, 5, 4, 3, 2)",20
126,False,0.33259649930186164,1.9486028994932882,"(1, 0, 3, 2, 4, 5)",21
3,False,0.33256483016027505,1.9486051432376743,"(0, 1, 2, 4, 5, 3)",22
265,False,0.33269768654298565,1.94860538508332,"(2, 1, 0, 3, 5, 4)",23
7,False,0.3326228905861507,1.9486069503626118,"(0, 1, 3, 2, 5, 4)",24
18,False,0.33269568447028697,1.948607212454055,"(0, 1, 5, 2, 3, 4)",25
19,False,0.33271570496569575,1.948607319207549,"(0, 1, 5, 2, 4, 3)",26
22,False,0.3327337584215533,1.9486085212696636,"(0, 1, 5, 4, 2, 3)",27
294,False,0.3326876431963312,1.9486160680416074,"(2, 3, 1, 0, 4, 5)",28
153,False,0.33248604278225175,1.948619378579869,"(1, 2, 3, 4, 5, 0)",29
119,False,0.3324860427822519,1.9486193785798696,"(0, 5, 4, 3, 2, 1)",30
273,False,0.33269531127629,1.9487014488146426,"(2, 1, 3, 4, 5, 0)",31
118,False,0.33269531127629,1.9487014488146426,"(0, 5, 4, 3, 1, 2)",32
152,False,0.33264430582505344,1.9487039215311093,"(1, 2, 3, 4, 0, 5)",33
272,False,0.33279999854708775,1.9487859917658827,"(2, 1, 3, 4, 0, 5)",34
151,False,0.3328494302322493,1.948786050732047,"(1, 2, 3, 0, 5, 4)",35
115,False,0.3327991779130479,1.9487863704379937,"(0, 5, 4, 1, 3, 2)",36
297,False,0.3327991779130479,1.9487863704379937,"(2, 3, 1, 4, 5, 0)",37
30,False,0.3326292962820686,1.9487890532192043,"(0, 2, 3, 1, 4, 5)",38
114,False,0.3327579217669268,1.9487930007772785,"(0, 5, 4, 1, 2, 3)",39
54,False,0.33255535157337746,1.9488028974891904,"(0, 3, 2, 1, 4, 5)",40
28,False,0.33281284503445063,1.948860628187116,"(0, 2, 1, 5, 3, 4)",41
