,is_well_nested,ms,ee,perm,i
147,False,0.9740052529433333,3.03075942811333,"(1, 2, 0, 4, 5, 3)",0
27,False,0.9807101645179302,3.031442242347637,"(0, 2, 1, 4, 5, 3)",1
145,False,0.9785263334654924,3.03237830872093,"(1, 2, 0, 3, 5, 4)",2
25,False,0.9762289493088079,3.0330611229552367,"(0, 2, 1, 3, 5, 4)",3
3,False,0.9808412016795649,3.0341221946369403,"(0, 1, 2, 4, 5, 3)",4
1,False,0.9827459807804992,3.0357410752445415,"(0, 1, 2, 3, 5, 4)",5
123,False,0.9806604588989704,3.0367033305575917,"(1, 0, 2, 4, 5, 3)",6
149,False,0.9819986140387195,3.0368402872149423,"(1, 2, 0, 5, 4, 3)",7
267,False,0.9819367766699745,3.036871931507826,"(2, 1, 0, 4, 5, 3)",8
29,False,0.9817085304733095,3.037523101449249,"(0, 2, 1, 5, 4, 3)",9
148,False,0.9783199960545628,3.037667890108971,"(1, 2, 0, 5, 3, 4)",10
121,False,0.9829273465362701,3.0383222111651915,"(1, 0, 2, 3, 5, 4)",11
28,False,0.9826056028723293,3.038350704343277,"(0, 2, 1, 5, 3, 4)",12
265,False,0.9836509017119213,3.038490812115426,"(2, 1, 0, 3, 5, 4)",13
243,False,0.980711899351598,3.040135881662782,"(2, 0, 1, 4, 5, 3)",14
5,True,0.9850321220288842,3.040203053738553,"(0, 1, 2, 5, 4, 3)",15
146,False,0.9771912889929528,3.040612563533003,"(1, 2, 0, 4, 3, 5)",16
4,True,0.986737392173795,3.0410306566325813,"(0, 1, 2, 5, 3, 4)",17
26,False,0.9782409837824949,3.04129537776731,"(0, 2, 1, 4, 3, 5)",18
144,False,0.9819497997015583,3.041403841246575,"(1, 2, 0, 3, 4, 5)",19
241,False,0.9844631603441284,3.041754762270383,"(2, 0, 1, 3, 5, 4)",20
24,False,0.9802259930745473,3.0420866554808814,"(0, 2, 1, 3, 4, 5)",21
125,True,0.9860685229536261,3.0427841896592036,"(1, 0, 2, 5, 4, 3)",22
269,True,0.9827177451207817,3.042952790609438,"(2, 1, 0, 5, 4, 3)",23
124,True,0.989801147627836,3.043611792553232,"(1, 0, 2, 5, 3, 4)",24
268,True,0.9840800827754039,3.0437803935034666,"(2, 1, 0, 5, 3, 4)",25
2,True,0.9861155017407093,3.0439753300566132,"(0, 1, 2, 4, 3, 5)",26
0,True,0.9830257587623071,3.0447666077701854,"(0, 1, 2, 3, 4, 5)",27
245,True,0.9834475755340043,3.046216740764394,"(2, 0, 1, 5, 4, 3)",28
122,True,0.9835348500069773,3.046556465977264,"(1, 0, 2, 4, 3, 5)",29
266,True,0.9822516791204102,3.0467250669274986,"(2, 1, 0, 4, 3, 5)",30
244,True,0.9865078880664606,3.0470443436584222,"(2, 0, 1, 5, 3, 4)",31
120,True,0.9821298422885217,3.0473477436908363,"(1, 0, 2, 3, 4, 5)",32
264,True,0.9822915873380128,3.0475163446410707,"(2, 1, 0, 3, 4, 5)",33
242,True,0.9825260777618797,3.049989017082455,"(2, 0, 1, 4, 3, 5)",34
240,True,0.9860162694932999,3.0507802947960263,"(2, 0, 1, 3, 4, 5)",35
151,False,1.0013877049276585,3.07238054047162,"(1, 2, 3, 0, 5, 4)",36
157,False,1.003610507915948,3.072430251310831,"(1, 2, 4, 0, 5, 3)",37
31,False,1.0029327491760605,3.0745291199399154,"(0, 2, 3, 1, 5, 4)",38
37,False,1.0061322255821177,3.0760722709826345,"(0, 2, 4, 1, 5, 3)",39
271,False,1.0066719490630047,3.0784930438661156,"(2, 1, 3, 0, 5, 4)",40
277,False,1.00304920300699,3.0785427547053263,"(2, 1, 4, 0, 5, 3)",41
163,False,1.006864371279127,3.080150180247246,"(1, 2, 5, 0, 4, 3)",42
7,False,1.007418176407617,3.0807577684768446,"(0, 1, 3, 2, 5, 4)",43
162,False,1.0081868766251476,3.080977783141274,"(1, 2, 5, 0, 3, 4)",44
150,False,1.006245216430681,3.0814060729972637,"(1, 2, 3, 0, 4, 5)",45
13,False,1.0061923010730767,3.0816239606842206,"(0, 1, 4, 2, 5, 3)",46
156,False,1.0048916771290666,3.0822833867305026,"(1, 2, 4, 0, 3, 5)",47
247,False,1.0087143676408166,3.0832227592550607,"(2, 0, 3, 1, 5, 4)",48
127,False,1.0078296220699976,3.083338904397494,"(1, 0, 3, 2, 5, 4)",49
30,False,1.0069022410362058,3.08355465246556,"(0, 2, 3, 1, 4, 5)",50
133,False,1.0104696181522952,3.0842050966048715,"(1, 0, 4, 2, 5, 3)",51
253,False,1.0035825735295985,3.0847659102977816,"(2, 0, 4, 1, 5, 3)",52
36,False,1.0043519920721526,3.085925406402307,"(0, 2, 4, 1, 3, 5)",53
283,False,1.008139132440213,3.086262683641743,"(2, 1, 5, 0, 4, 3)",54
282,False,1.009998177919604,3.08709028653577,"(2, 1, 5, 0, 3, 4)",55
270,False,1.0046833791279963,3.08751857639176,"(2, 1, 3, 0, 4, 5)",56
276,False,1.0072453639370438,3.088395890124999,"(2, 1, 4, 0, 3, 5)",57
43,False,1.0109535941718986,3.0887484916816645,"(0, 2, 5, 1, 4, 3)",58
42,False,1.0110168253022405,3.0895760945756923,"(0, 2, 5, 1, 3, 4)",59
6,False,1.008087452841632,3.089783301002489,"(0, 1, 3, 2, 4, 5)",60
12,False,1.0097179125087616,3.0914770961038935,"(0, 1, 4, 2, 3, 5)",61
246,False,1.0091705665662525,3.092248291780705,"(2, 0, 3, 1, 4, 5)",62
126,False,1.0094511328806113,3.092364436923139,"(1, 0, 3, 2, 4, 5)",63
132,False,1.0119442088473127,3.094058232024545,"(1, 0, 4, 2, 3, 5)",64
252,False,1.0102701041747453,3.0946190457174536,"(2, 0, 4, 1, 3, 5)",65
19,False,1.0193263842331393,3.094980904625957,"(0, 1, 5, 2, 4, 3)",66
95,False,1.0082024483309868,3.0956694698477634,"(0, 4, 5, 3, 2, 1)",67
155,False,1.008202448330987,3.095669469847764,"(1, 2, 3, 5, 4, 0)",68
55,False,1.0106442821671482,3.0956835326362038,"(0, 3, 2, 1, 5, 4)",69
18,False,1.0128197308126614,3.0958085075199846,"(0, 1, 5, 2, 3, 4)",70
154,False,1.009890939380425,3.0958130521017333,"(1, 2, 3, 5, 0, 4)",71
160,False,1.0121309364000088,3.0964907021809474,"(1, 2, 4, 5, 0, 3)",72
71,False,1.0056268370771384,3.0971747228210065,"(0, 3, 5, 4, 2, 1)",73
161,False,1.0056268370771386,3.097174722821007,"(1, 2, 4, 5, 3, 0)",74
79,False,1.0117602781385573,3.097390022152491,"(0, 4, 2, 1, 5, 3)",75
259,False,1.011740832130494,3.0974421309968108,"(2, 0, 5, 1, 4, 3)",76
139,False,1.0183783684966725,3.0975620405466073,"(1, 0, 5, 2, 4, 3)",77
166,False,1.0135160478472551,3.098129772015751,"(1, 2, 5, 4, 0, 3)",78
258,False,1.0224935114157192,3.098269733890839,"(2, 0, 5, 1, 3, 4)",79
138,False,1.0164541047826143,3.098389643440636,"(1, 0, 5, 2, 3, 4)",80
65,False,1.0088279048212752,3.0988137926558097,"(0, 3, 4, 5, 2, 1)",81
167,False,1.0088279048212756,3.0988137926558106,"(1, 2, 5, 4, 3, 0)",82
89,False,1.0075822485264645,3.098977131129378,"(0, 4, 3, 5, 2, 1)",83
165,False,1.007582248526465,3.0989771311293786,"(1, 2, 5, 3, 4, 0)",84
164,False,1.0132406819644428,3.099120713383347,"(1, 2, 5, 3, 0, 4)",85
49,False,1.0154642716547855,3.0992322288838277,"(0, 3, 1, 2, 5, 4)",86
175,False,1.0130622524296948,3.0998591154453776,"(1, 3, 2, 0, 5, 4)",87
73,False,1.0116272841784937,3.1002617595647735,"(0, 4, 1, 2, 5, 3)",88
94,False,1.0071675149727641,3.1017819732422596,"(0, 4, 5, 3, 1, 2)",89
275,False,1.0071675149727644,3.1017819732422596,"(2, 1, 3, 5, 4, 0)",90
274,False,1.009249884442398,3.101925555496229,"(2, 1, 3, 5, 0, 4)",91
280,False,1.0138979219957622,3.1026032055754427,"(2, 1, 4, 5, 0, 3)",92
40,False,1.0134739543710072,3.103192933975263,"(0, 2, 4, 5, 1, 3)",93
70,False,1.0116076037840371,3.103287226215502,"(0, 3, 5, 4, 1, 2)",94
281,False,1.0116076037840378,3.1032872262155027,"(2, 1, 4, 5, 3, 0)",95
199,False,1.0168600602753346,3.1036785796107926,"(1, 4, 2, 0, 5, 3)",96
286,False,1.009702153007442,3.104242275410247,"(2, 1, 5, 4, 0, 3)",97
34,False,1.0190301948727543,3.104628258545177,"(0, 2, 3, 5, 1, 4)",98
54,False,1.0166098577666327,3.104709065161848,"(0, 3, 2, 1, 4, 5)",99
169,False,1.017024954585701,3.1048735769269915,"(1, 3, 0, 2, 5, 4)",100
64,False,1.0094627753004348,3.1049262960503063,"(0, 3, 4, 5, 1, 2)",101
287,False,1.0094627753004353,3.104926296050307,"(2, 1, 5, 4, 3, 0)",102
88,False,1.0120746044987052,3.105089634523874,"(0, 4, 3, 5, 1, 2)",103
285,False,1.0120746044987055,3.1050896345238748,"(2, 1, 5, 3, 4, 0)",104
284,False,1.0171565537886074,3.1052332167778434,"(2, 1, 5, 3, 0, 4)",105
41,False,1.0136473622264046,3.1064580905359724,"(0, 2, 4, 5, 3, 1)",106
191,False,1.0136473622264048,3.106458090535973,"(1, 3, 5, 4, 2, 0)",107
35,False,1.0144694963703427,3.107065812211858,"(0, 2, 3, 5, 4, 1)",108
215,False,1.0144694963703433,3.1070658122118586,"(1, 4, 5, 3, 2, 0)",109
78,False,1.015612736810735,3.1072431575721633,"(0, 4, 2, 1, 3, 5)",110
119,False,1.0106241000554654,3.107412403947014,"(0, 5, 4, 3, 2, 1)",111
153,False,1.010624100055466,3.107412403947015,"(1, 2, 3, 4, 5, 0)",112
