,is_well_nested,ms,ee,perm,i
5,True,0.33201037046639686,1.9482788947982985,"(0, 1, 2, 5, 4, 3)",0
125,True,0.33201293360103784,1.9482802247647224,"(1, 0, 2, 5, 4, 3)",1
4,True,0.3320096307658089,1.948281590792022,"(0, 1, 2, 5, 3, 4)",2
124,True,0.33201600843468704,1.9482829207584458,"(1, 0, 2, 5, 3, 4)",3
269,True,0.33204525987491507,1.9482888244042444,"(2, 1, 0, 5, 4, 3)",4
245,True,0.33205123154994165,1.9482891333880203,"(2, 0, 1, 5, 4, 3)",5
2,True,0.33205526408898434,1.948291448507458,"(0, 1, 2, 4, 3, 5)",6
268,True,0.3320516886602305,1.9482915203979676,"(2, 1, 0, 5, 3, 4)",7
244,True,0.33204719006998545,1.9482918293817442,"(2, 0, 1, 5, 3, 4)",8
122,True,0.3320559424937406,1.9482927784738817,"(1, 0, 2, 4, 3, 5)",9
0,True,0.3320512301005441,1.9482943175374319,"(0, 1, 2, 3, 4, 5)",10
120,True,0.33205879088997803,1.9482956475038558,"(1, 0, 2, 3, 4, 5)",11
266,True,0.3320840813644216,1.9483013781134038,"(2, 1, 0, 4, 3, 5)",12
242,True,0.33209645950731875,1.94830168709718,"(2, 0, 1, 4, 3, 5)",13
264,True,0.33209470833799315,1.9483042471433778,"(2, 1, 0, 3, 4, 5)",14
240,True,0.33208799238406556,1.9483045561271541,"(2, 0, 1, 3, 4, 5)",15
19,False,0.3320397567896677,1.9483625671618525,"(0, 1, 5, 2, 4, 3)",16
139,False,0.3320389358905072,1.948363897128277,"(1, 0, 5, 2, 4, 3)",17
18,False,0.3320386190145368,1.9483652631555763,"(0, 1, 5, 2, 3, 4)",18
138,False,0.3320416503925441,1.9483665931220004,"(1, 0, 5, 2, 3, 4)",19
343,False,0.3320943139135611,1.9484127029175968,"(2, 5, 1, 0, 4, 3)",20
337,False,0.3321014054643997,1.9484136336528366,"(2, 5, 0, 1, 4, 3)",21
342,False,0.33210257504833635,1.94841539891132,"(2, 5, 1, 0, 3, 4)",22
336,False,0.3320960944276306,1.94841632964656,"(2, 5, 0, 1, 3, 4)",23
305,False,0.3320949672036107,1.9484187724187623,"(2, 3, 4, 5, 1, 0)",24
23,False,0.33209496720361087,1.9484187724187627,"(0, 1, 5, 4, 3, 2)",25
143,False,0.3320918763949591,1.9484201023851868,"(1, 0, 5, 4, 3, 2)",26
304,False,0.3320918763949591,1.9484201023851868,"(2, 3, 4, 5, 0, 1)",27
14,False,0.33210983214659495,1.9484202891532592,"(0, 1, 4, 3, 2, 5)",28
8,False,0.3321038463848818,1.9484210863195763,"(0, 1, 3, 4, 2, 5)",29
134,False,0.33210407683486975,1.9484216191196835,"(1, 0, 4, 3, 2, 5)",30
15,False,0.33211047545851025,1.9484220309836338,"(0, 1, 4, 3, 5, 2)",31
353,False,0.33211047545851025,1.9484220309836338,"(2, 5, 3, 4, 1, 0)",32
21,False,0.33209277041454016,1.948422390182626,"(0, 1, 5, 3, 4, 2)",33
329,False,0.3320927704145403,1.9484223901826263,"(2, 4, 3, 5, 1, 0)",34
128,False,0.33211264442874305,1.9484224162860004,"(1, 0, 3, 4, 2, 5)",35
9,False,0.33210278432590923,1.948422828149951,"(0, 1, 3, 4, 5, 2)",36
359,False,0.33210278432590934,1.9484228281499512,"(2, 5, 4, 3, 1, 0)",37
352,False,0.3321034956399641,1.948423360950058,"(2, 5, 3, 4, 0, 1)",38
135,False,0.3321034956399641,1.948423360950058,"(1, 0, 4, 3, 5, 2)",39
141,False,0.3320996386861074,1.9484237201490502,"(1, 0, 5, 3, 4, 2)",40
328,False,0.3320996386861075,1.9484237201490504,"(2, 4, 3, 5, 0, 1)",41
358,False,0.3321114179884479,1.9484241581163748,"(2, 5, 4, 3, 0, 1)",42
129,False,0.3321114179884479,1.9484241581163748,"(1, 0, 3, 4, 5, 2)",43
302,False,0.33214633352639455,1.948467492713257,"(2, 3, 4, 1, 0, 5)",44
300,False,0.33213758692926304,1.948467776820212,"(2, 3, 4, 0, 1, 5)",45
326,False,0.3321395969370009,1.9484711104771208,"(2, 4, 3, 1, 0, 5)",46
324,False,0.3321495091741415,1.9484713945840757,"(2, 4, 3, 0, 1, 5)",47
29,False,0.3321453902278558,1.9486469798236183,"(0, 2, 1, 5, 4, 3)",48
149,False,0.3321462334648764,1.948648000806266,"(1, 2, 0, 5, 4, 3)",49
28,False,0.33214777906994053,1.948649675817342,"(0, 2, 1, 5, 3, 4)",50
148,False,0.33214812136212496,1.9486506967999895,"(1, 2, 0, 5, 3, 4)",51
26,False,0.33218822389834235,1.9486595335327779,"(0, 2, 1, 4, 3, 5)",52
146,False,0.3321886568800666,1.9486605545154256,"(1, 2, 0, 4, 3, 5)",53
24,False,0.33218716458315783,1.9486624025627521,"(0, 2, 1, 3, 4, 5)",54
144,False,0.33218955840681,1.9486634235453995,"(1, 2, 0, 3, 4, 5)",55
3,False,0.3321625260310975,1.948692614361264,"(0, 1, 2, 4, 5, 3)",56
123,False,0.33216542762258205,1.9486939443276876,"(1, 0, 2, 4, 5, 3)",57
1,False,0.33216399661133345,1.9486981793849611,"(0, 1, 2, 3, 5, 4)",58
121,False,0.3321659756829111,1.9486995093513853,"(1, 0, 2, 3, 5, 4)",59
267,False,0.332197021579937,1.9487025439672103,"(2, 1, 0, 4, 5, 3)",60
243,False,0.3321984274700601,1.948702852950986,"(2, 0, 1, 4, 5, 3)",61
265,False,0.33219643345135835,1.9487081089909075,"(2, 1, 0, 3, 5, 4)",62
241,False,0.3322026511847722,1.9487084179746834,"(2, 0, 1, 3, 5, 4)",63
283,False,0.33219812629204526,1.948735665653,"(2, 1, 5, 0, 4, 3)",64
259,False,0.3321985572105173,1.948736905372017,"(2, 0, 5, 1, 4, 3)",65
282,False,0.33220130849417046,1.948738361646723,"(2, 1, 5, 0, 3, 4)",66
258,False,0.3321960635832203,1.9487396013657403,"(2, 0, 5, 1, 3, 4)",67
97,False,0.33218538123704705,1.9487708757223192,"(0, 5, 1, 2, 4, 3)",68
217,False,0.33218779208882965,1.9487724897956986,"(1, 5, 0, 2, 4, 3)",69
96,False,0.33218668722527533,1.9487735717160428,"(0, 5, 1, 2, 3, 4)",70
216,False,0.332187780574399,1.948775185789422,"(1, 5, 0, 2, 3, 4)",71
12,False,0.33221914917870243,1.9487876818444612,"(0, 1, 4, 2, 3, 5)",72
132,False,0.33222324981071083,1.9487890118108853,"(1, 0, 4, 2, 3, 5)",73
