,is_well_nested,ms,ee,perm,i
0,True,0.63535073776092,2.497081284226365,"(0, 1, 2, 3, 4, 5)",0
120,True,0.6663772491268135,2.5025017652815027,"(1, 0, 2, 3, 4, 5)",1
1,False,0.667218290012676,2.5175560947795077,"(0, 1, 2, 3, 5, 4)",2
121,False,0.6869278414667687,2.5229765758346456,"(1, 0, 2, 3, 5, 4)",3
2,True,0.6847213223617575,2.5325966890167932,"(0, 1, 2, 4, 3, 5)",4
144,False,0.6927661881605771,2.5328854815720967,"(1, 2, 0, 3, 4, 5)",5
4,True,0.6859821111951131,2.534043949371497,"(0, 1, 2, 5, 3, 4)",6
122,True,0.6874678675723067,2.538017170071931,"(1, 0, 2, 4, 3, 5)",7
124,True,0.6923577032169416,2.5394644304266345,"(1, 0, 2, 5, 3, 4)",8
264,True,0.693830740246927,2.5405339370756135,"(2, 1, 0, 3, 4, 5)",9
24,False,0.6914890035618473,2.5432397670243336,"(0, 2, 1, 3, 4, 5)",10
5,True,0.6902993712526375,2.5432692934800207,"(0, 1, 2, 5, 4, 3)",11
125,True,0.69625938117801,2.548689774535159,"(1, 0, 2, 5, 4, 3)",12
18,False,0.6939789062303815,2.5523613405558834,"(0, 1, 5, 2, 3, 4)",13
6,False,0.6945810546811721,2.552953557860179,"(0, 1, 3, 2, 4, 5)",14
145,False,0.6993464911026412,2.5533602921252396,"(1, 2, 0, 3, 5, 4)",15
240,True,0.7021758555093092,2.556308703582988,"(2, 0, 1, 3, 4, 5)",16
138,False,0.6987568654292862,2.557781821611021,"(1, 0, 5, 2, 3, 4)",17
23,False,0.6923233399369582,2.55829144463266,"(0, 1, 5, 4, 3, 2)",18
305,False,0.6923233399369583,2.5582914446326606,"(2, 3, 4, 5, 1, 0)",19
126,False,0.7026694567053184,2.558374038915317,"(1, 0, 3, 2, 4, 5)",20
265,False,0.7012102387022543,2.5610087476287564,"(2, 1, 0, 3, 5, 4)",21
19,False,0.7077304041660509,2.561586684664408,"(0, 1, 5, 2, 4, 3)",22
3,False,0.7005871295366896,2.5622968436784603,"(0, 1, 2, 4, 5, 3)",23
143,False,0.6908586123775818,2.5637119256877976,"(1, 0, 5, 4, 3, 2)",24
304,False,0.6908586123775818,2.5637119256877976,"(2, 3, 4, 5, 0, 1)",25
25,False,0.6951570349019816,2.563714577577476,"(0, 2, 1, 3, 5, 4)",26
150,False,0.7054751133324176,2.5638904977119097,"(1, 2, 3, 0, 4, 5)",27
22,False,0.7121399612350271,2.566053771649097,"(0, 1, 5, 4, 2, 3)",28
139,False,0.7127584525468477,2.567007165719545,"(1, 0, 5, 2, 4, 3)",29
123,False,0.7106056603974984,2.5677173247335983,"(1, 0, 2, 4, 5, 3)",30
146,False,0.7156698584837922,2.5684008863625247,"(1, 2, 0, 4, 3, 5)",31
148,False,0.7033484674142009,2.569848146717228,"(1, 2, 0, 5, 3, 4)",32
142,False,0.7127537925018268,2.5714742527042347,"(1, 0, 5, 4, 2, 3)",33
270,False,0.7124862074424461,2.5715389532154265,"(2, 1, 3, 0, 4, 5)",34
7,False,0.7076278428958134,2.5734283684133223,"(0, 1, 3, 2, 5, 4)",35
294,False,0.7177993229726299,2.574154690774445,"(2, 3, 1, 0, 4, 5)",36
302,False,0.7111918352809831,2.576017679231709,"(2, 3, 4, 1, 0, 5)",37
266,True,0.7096619916619337,2.576049341866042,"(2, 1, 0, 4, 3, 5)",38
241,False,0.7143988452240123,2.576783514136131,"(2, 0, 1, 3, 5, 4)",39
268,True,0.7091654850609747,2.5774966022207453,"(2, 1, 0, 5, 3, 4)",40
152,False,0.6998684883017512,2.5784411111246,"(1, 2, 3, 4, 0, 5)",41
12,False,0.7127882946786142,2.578462360890034,"(0, 1, 4, 2, 3, 5)",42
26,False,0.7103917519404164,2.5787551718147617,"(0, 2, 1, 4, 3, 5)",43
127,False,0.7032787854060655,2.5788488494684594,"(1, 0, 3, 2, 5, 4)",44
96,False,0.6981973707237114,2.578956466241507,"(0, 5, 1, 2, 3, 4)",45
149,False,0.7150085472776792,2.5790734908257527,"(1, 2, 0, 5, 4, 3)",46
28,False,0.7190484814621139,2.5802024321694645,"(0, 2, 1, 5, 3, 4)",47
132,False,0.7183827530653574,2.583882841945172,"(1, 0, 4, 2, 3, 5)",48
151,False,0.7166325961336518,2.584365308265052,"(1, 2, 3, 0, 5, 4)",49
101,False,0.7185974105594085,2.5848865703182837,"(0, 5, 1, 4, 3, 2)",50
303,False,0.7185974105594086,2.584886570318284,"(2, 3, 4, 1, 5, 0)",51
311,False,0.7221208830683514,2.5858397253215135,"(2, 3, 5, 4, 1, 0)",52
17,False,0.7221208830683514,2.5858397253215135,"(0, 1, 4, 5, 3, 2)",53
272,False,0.7268960634112026,2.5860895666281167,"(2, 1, 3, 4, 0, 5)",54
14,False,0.7056813114736056,2.58647801072475,"(0, 1, 4, 3, 2, 5)",55
269,True,0.7048329502675814,2.58672194632927,"(2, 1, 0, 5, 4, 3)",56
153,False,0.6849920774933255,2.587310002211175,"(1, 2, 3, 4, 5, 0)",57
119,False,0.6849920774933255,2.587310002211175,"(0, 5, 4, 3, 2, 1)",58
97,False,0.721536611687755,2.588181810350031,"(0, 5, 1, 2, 4, 3)",59
296,False,0.7237749501622014,2.588705304187135,"(2, 3, 1, 4, 0, 5)",60
29,False,0.7185746090223001,2.589427776277989,"(0, 2, 1, 5, 4, 3)",61
20,False,0.7200071494983208,2.59021942149561,"(0, 1, 5, 3, 2, 4)",62
137,False,0.7219999547255567,2.591260206376651,"(1, 0, 4, 5, 3, 2)",63
310,False,0.7219999547255567,2.5912602063766514,"(2, 3, 5, 4, 0, 1)",64
21,False,0.7159014982548911,2.591682438587697,"(0, 1, 5, 3, 4, 2)",65
