t,h_t,var_h_t,I_t,H_M_lower_bound,real,label,sample
0,3.202444194494824,11.14808363245185,nan,0.0,real,German.Parsed.CSV,0
1,2.0460023567416217,6.488092951575273,1.1564418377532024,1.1564418377532024,real,German.Parsed.CSV,0
2,1.480639610156384,4.346368504775555,0.5653627465852378,2.287167330923678,real,German.Parsed.CSV,0
3,1.2207978915187416,3.5160626080940256,0.25984171863764227,3.0666924868366046,real,German.Parsed.CSV,0
4,1.123387518509145,3.2492893475715356,0.09741037300959654,3.4563339788749907,real,German.Parsed.CSV,0
5,1.0940038622393018,3.1818300006418316,0.029383656269843295,3.603252260224207,real,German.Parsed.CSV,0
6,1.0865572591436174,3.165812793540161,0.007446603095684345,3.647931878798313,real,German.Parsed.CSV,0
7,1.0843111849188927,3.161515242575108,0.002246074224724781,3.6636543983713867,real,German.Parsed.CSV,0
8,1.0837596853304088,3.1605503773174295,0.0005514995884838836,3.668066395079258,real,German.Parsed.CSV,0
9,1.0834786669017122,3.1599738704799143,0.0002810184286965445,3.6705955609375267,real,German.Parsed.CSV,0
10,1.0834237817943706,3.1598415595295384,5.4885107341640094e-05,3.671144412010943,real,German.Parsed.CSV,0
11,1.083401948027743,3.159804534600785,2.1833766627565865e-05,3.6713845834438463,real,German.Parsed.CSV,0
12,1.08340016401578,3.159800404592531,1.7840119630463391e-06,3.671405991587403,real,German.Parsed.CSV,0
13,1.083399626209133,3.159799379061239,5.37806646994099e-07,3.6714129830738136,real,German.Parsed.CSV,0
14,1.0833988855895826,3.1597984220369675,7.406195503545376e-07,3.6714233517475185,real,German.Parsed.CSV,0
15,1.0833988566021286,3.1597984159169363,2.898745399271263e-08,3.6714237865593287,real,German.Parsed.CSV,0
16,1.0833988562202401,3.1597984156522316,3.8188852080622837e-10,3.671423792669545,real,German.Parsed.CSV,0
17,1.0833988102032568,3.1597983837549433,4.601698333495108e-08,3.6714245749582615,real,German.Parsed.CSV,0
18,1.0833988102032568,3.1597983837549433,-0.0,3.6714245749582615,real,German.Parsed.CSV,0
19,1.0833988102032568,3.1597983837549433,-0.0,3.6714245749582615,real,German.Parsed.CSV,0
20,1.0833988102032568,3.1597983837549433,-0.0,3.6714245749582615,real,German.Parsed.CSV,0
