,is_well_nested,ms,ee,perm,i
242,True,0.3805859671547908,2.0176643134947474,"(2, 0, 1, 4, 3, 5)",0
266,True,0.38180870779938747,2.017664393453485,"(2, 1, 0, 4, 3, 5)",1
122,True,0.3777430335432893,2.017664677712365,"(1, 0, 2, 4, 3, 5)",2
2,True,0.37718220982777345,2.017664740510207,"(0, 1, 2, 4, 3, 5)",3
240,True,0.3818170499918748,2.0176648353154176,"(2, 0, 1, 3, 4, 5)",4
244,True,0.37780726652264734,2.01766484235365,"(2, 0, 1, 5, 3, 4)",5
264,True,0.380566560949778,2.017664915274154,"(2, 1, 0, 3, 4, 5)",6
268,True,0.3772210453626853,2.017664922312387,"(2, 1, 0, 5, 3, 4)",7
120,True,0.3771743869599327,2.0176651995330346,"(1, 0, 2, 3, 4, 5)",8
124,True,0.37374953041172787,2.017665206571267,"(1, 0, 2, 5, 3, 4)",9
0,True,0.37774094315760454,2.017665262330876,"(0, 1, 2, 3, 4, 5)",10
4,True,0.3741095652851353,2.0176652693691093,"(0, 1, 2, 5, 3, 4)",11
245,True,0.3772910377637521,2.0176653050583044,"(2, 0, 1, 5, 4, 3)",12
269,True,0.3778487576540954,2.017665385017042,"(2, 1, 0, 5, 4, 3)",13
125,True,0.3741513724989487,2.017665669275922,"(1, 0, 2, 5, 4, 3)",14
5,True,0.3737586601348104,2.0176657320737643,"(0, 1, 2, 5, 4, 3)",15
138,False,0.37374011395149864,2.017677891339596,"(1, 0, 5, 2, 3, 4)",16
18,False,0.37411470761834054,2.017677954137438,"(0, 1, 5, 2, 3, 4)",17
139,False,0.3741489283559596,2.0176783540442504,"(1, 0, 5, 2, 4, 3)",18
19,False,0.3737694759398429,2.017678416842093,"(0, 1, 5, 2, 4, 3)",19
352,False,0.37880417929008503,2.0176830154514374,"(2, 5, 3, 4, 0, 1)",20
135,False,0.37880417929008536,2.0176830154514382,"(1, 0, 4, 3, 5, 2)",21
328,False,0.37717792481050694,2.0176830671962476,"(2, 4, 3, 5, 0, 1)",22
141,False,0.37717792481050694,2.0176830671962476,"(1, 0, 5, 3, 4, 2)",23
353,False,0.37797930715141836,2.0176830782492803,"(2, 5, 3, 4, 1, 0)",24
15,False,0.3779793071514185,2.0176830782492807,"(0, 1, 4, 3, 5, 2)",25
21,False,0.377757201714913,2.01768312999409,"(0, 1, 5, 3, 4, 2)",26
329,False,0.37775720171491334,2.017683129994091,"(2, 4, 3, 5, 1, 0)",27
134,False,0.3787949986298111,2.017683422628823,"(1, 0, 4, 3, 2, 5)",28
14,False,0.377968879127775,2.017683485426665,"(0, 1, 4, 3, 2, 5)",29
358,False,0.37799967040752336,2.017683511120731,"(2, 5, 4, 3, 0, 1)",30
129,False,0.3779996704075237,2.017683511120732,"(1, 0, 3, 4, 5, 2)",31
304,False,0.3777402988330635,2.017683563716198,"(2, 3, 4, 5, 0, 1)",32
143,False,0.3777402988330634,2.017683563716198,"(1, 0, 5, 4, 3, 2)",33
9,False,0.37886072278517546,2.017683573918574,"(0, 1, 3, 4, 5, 2)",34
359,False,0.37886072278517563,2.017683573918575,"(2, 5, 4, 3, 1, 0)",35
23,False,0.37718769796662865,2.0176836265140405,"(0, 1, 5, 4, 3, 2)",36
305,False,0.377187697966629,2.0176836265140414,"(2, 3, 4, 5, 1, 0)",37
128,False,0.3779992124530295,2.0176839182981166,"(1, 0, 3, 4, 2, 5)",38
8,False,0.3788581558068873,2.0176839810959586,"(0, 1, 3, 4, 2, 5)",39
336,False,0.37892167374292735,2.017684036022692,"(2, 5, 0, 1, 3, 4)",40
342,False,0.37806335728354784,2.0176841347561076,"(2, 5, 1, 0, 3, 4)",41
337,False,0.3781317359473124,2.0176844987273457,"(2, 5, 0, 1, 4, 3)",42
343,False,0.3789791519982535,2.0176845974607627,"(2, 5, 1, 0, 4, 3)",43
324,False,0.38058228849783055,2.0176896673232783,"(2, 4, 3, 0, 1, 5)",44
326,False,0.38181890012731023,2.017689765770921,"(2, 4, 3, 1, 0, 5)",45
300,False,0.38181887284897836,2.0176901638432287,"(2, 3, 4, 0, 1, 5)",46
302,False,0.3805805721900113,2.0176902622908717,"(2, 3, 4, 1, 0, 5)",47
243,False,0.3918112935840537,2.052748183006683,"(2, 0, 1, 4, 5, 3)",48
241,False,0.3918294714920995,2.0527482421226972,"(2, 0, 1, 3, 5, 4)",49
267,False,0.3918018135342141,2.0527482629654203,"(2, 1, 0, 4, 5, 3)",50
265,False,0.39180033145590043,2.0527483220814347,"(2, 1, 0, 3, 5, 4)",51
