,is_well_nested,ms,ee,perm,i
242,True,1.3930497130195938,3.468930850263592,"(2, 0, 1, 4, 3, 5)",0
240,True,1.3953090409619002,3.4692358189952577,"(2, 0, 1, 3, 4, 5)",1
266,True,1.3863778885344715,3.4713676590700766,"(2, 1, 0, 4, 3, 5)",2
264,True,1.3950442264212495,3.471672627801742,"(2, 1, 0, 3, 4, 5)",3
26,False,1.3938669338262593,3.4721774343478544,"(0, 2, 1, 4, 3, 5)",4
24,False,1.3914650160202313,3.4724824030795207,"(0, 2, 1, 3, 4, 5)",5
245,True,1.3952455667786487,3.4725841291497517,"(2, 0, 1, 5, 4, 3)",6
269,True,1.3943800294097604,3.475020937956236,"(2, 1, 0, 5, 4, 3)",7
29,False,1.3864746117795654,3.4758307132340147,"(0, 2, 1, 5, 4, 3)",8
244,True,1.3983448895857615,3.4760779617663324,"(2, 0, 1, 5, 3, 4)",9
243,False,1.399237201352952,3.47630045826942,"(2, 0, 1, 4, 5, 3)",10
146,False,1.3953541718590179,3.476620178051145,"(1, 2, 0, 4, 3, 5)",11
144,False,1.3963033490964278,3.4769251467828104,"(1, 2, 0, 3, 4, 5)",12
60,False,1.3863267062741884,3.4777858557111996,"(0, 3, 4, 1, 2, 5)",13
268,True,1.4030549385350435,3.478514770572817,"(2, 1, 0, 5, 3, 4)",14
61,False,1.3860374249562912,3.47855767205682,"(0, 3, 4, 1, 5, 2)",15
347,False,1.3860374249562917,3.4785576720568208,"(2, 5, 1, 4, 3, 0)",16
246,False,1.4006140797990423,3.4785971568525293,"(2, 0, 3, 1, 4, 5)",17
267,False,1.3963188492638956,3.4787372670759047,"(2, 1, 0, 4, 5, 3)",18
64,False,1.3929785033370587,3.4788290180677928,"(0, 3, 4, 5, 1, 2)",19
287,False,1.3929785033370594,3.4788290180677937,"(2, 1, 5, 4, 3, 0)",20
28,False,1.3959874916792907,3.479324545850595,"(0, 2, 1, 5, 3, 4)",21
