,is_well_nested,ms,ee,perm,i
0,True,0.33372075268526286,1.9519293058898841,"(0, 1, 2, 3, 4, 5)",0
120,True,0.3347358116186385,1.9529359144474565,"(1, 0, 2, 3, 4, 5)",1
1,False,0.3346642010833403,1.9529836959253482,"(0, 1, 2, 3, 5, 4)",2
121,False,0.33545171467181994,1.9539903044829199,"(1, 0, 2, 3, 5, 4)",3
6,False,0.33533305215047016,1.954049279057709,"(0, 1, 3, 2, 4, 5)",4
5,True,0.33518540590911083,1.954056752443067,"(0, 1, 2, 5, 4, 3)",5
264,True,0.33532034233035574,1.9540620355201628,"(2, 1, 0, 3, 4, 5)",6
144,False,0.33545556246854114,1.9541974680767624,"(1, 2, 0, 3, 4, 5)",7
24,False,0.3352602199755646,1.954205510186025,"(0, 2, 1, 3, 4, 5)",8
4,True,0.3353295642922705,1.954229140309336,"(0, 1, 2, 5, 3, 4)",9
2,True,0.3352821074367112,1.9542367833600196,"(0, 1, 2, 4, 3, 5)",10
23,False,0.33537885581520177,1.9550430636983018,"(0, 1, 5, 4, 3, 2)",11
305,False,0.3353788558152019,1.9550430636983023,"(2, 3, 4, 5, 1, 0)",12
126,False,0.3358105619241848,1.9550558876152813,"(1, 0, 3, 2, 4, 5)",13
125,True,0.3356203115435814,1.9550633610006394,"(1, 0, 2, 5, 4, 3)",14
240,True,0.3355796224912319,1.955076686186998,"(2, 0, 1, 3, 4, 5)",15
22,False,0.3358591812706331,1.9550903234165442,"(0, 1, 5, 4, 2, 3)",16
7,False,0.3357166603755372,1.955103669093174,"(0, 1, 3, 2, 5, 4)",17
265,False,0.3356634742280466,1.9551164255556266,"(2, 1, 0, 3, 5, 4)",18
3,False,0.3355223647864845,1.9551187855292147,"(0, 1, 2, 4, 5, 3)",19
294,False,0.3360194851929261,1.955145182162992,"(2, 3, 1, 0, 4, 5)",20
124,True,0.3358763584486506,1.9552357488669079,"(1, 0, 2, 5, 3, 4)",21
122,True,0.33569896727860704,1.9552433919175918,"(1, 0, 2, 4, 3, 5)",22
145,False,0.3359066215433268,1.9552518581122262,"(1, 2, 0, 3, 5, 4)",23
25,False,0.33558041312203385,1.9552599002214899,"(0, 2, 1, 3, 5, 4)",24
19,False,0.33594843861958257,1.9552866782728957,"(0, 1, 5, 2, 4, 3)",25
270,False,0.33608472498021835,1.9553067727856401,"(2, 1, 3, 0, 4, 5)",26
150,False,0.33587899905086605,1.9554422053422396,"(1, 2, 3, 0, 4, 5)",27
18,False,0.33570672127255685,1.9554590661391642,"(0, 1, 5, 2, 3, 4)",28
143,False,0.3355332244686895,1.956049672255874,"(1, 0, 5, 4, 3, 2)",29
304,False,0.3355332244686895,1.956049672255874,"(2, 3, 4, 5, 0, 1)",30
142,False,0.3361186891337754,1.9560969319741164,"(1, 0, 5, 4, 2, 3)",31
127,False,0.3359585657410984,1.9561102776507449,"(1, 0, 3, 2, 5, 4)",32
123,False,0.33623181715280015,1.9561253940867869,"(1, 0, 2, 4, 5, 3)",33
241,False,0.33619533925193573,1.9561310762224613,"(2, 0, 1, 3, 5, 4)",34
17,False,0.3361168464393853,1.9561404582368698,"(0, 1, 4, 5, 3, 2)",35
311,False,0.3361168464393853,1.9561404582368698,"(2, 3, 5, 4, 1, 0)",36
16,False,0.3360711096401863,1.956187717955112,"(0, 1, 4, 5, 2, 3)",37
269,True,0.33567221374231393,1.9561894820733456,"(2, 1, 0, 5, 4, 3)",38
288,False,0.33619118133132825,1.956194076665272,"(2, 3, 0, 1, 4, 5)",39
295,False,0.3361572926032008,1.9561995721984555,"(2, 3, 1, 0, 5, 4)",40
