,is_well_nested,ms,ee,perm,i
0,True,0.33525088396860403,1.9531177617219346,"(0, 1, 2, 3, 4, 5)",0
1,False,0.337152737537076,1.9542639382348017,"(0, 1, 2, 3, 5, 4)",1
120,True,0.3364816045369726,1.9543317948602157,"(1, 0, 2, 3, 4, 5)",2
24,False,0.3369193017224287,1.9553518166392378,"(0, 2, 1, 3, 4, 5)",3
144,False,0.3371958708481854,1.9553816381350004,"(1, 2, 0, 3, 4, 5)",4
121,False,0.3380768672252729,1.9554779713730825,"(1, 0, 2, 3, 5, 4)",5
5,True,0.33824262126423493,1.9555479740347443,"(0, 1, 2, 5, 4, 3)",6
264,True,0.3371697694976447,1.955559834306871,"(2, 1, 0, 3, 4, 5)",7
6,False,0.33715052487833397,1.9555847439189824,"(0, 1, 3, 2, 4, 5)",8
2,True,0.33717147829524363,1.9561066787476273,"(0, 1, 2, 4, 3, 5)",9
4,True,0.33849956852694846,1.9561294588182878,"(0, 1, 2, 5, 3, 4)",10
150,False,0.33753241918207183,1.9564878950662328,"(1, 2, 3, 0, 4, 5)",11
25,False,0.33811543569175917,1.9564979931521047,"(0, 2, 1, 3, 5, 4)",12
145,False,0.33845413319999895,1.9565278146478668,"(1, 2, 0, 3, 5, 4)",13
270,False,0.33791554141683616,1.9566660912381038,"(2, 1, 3, 0, 4, 5)",14
3,False,0.3381268396621519,1.956671370476951,"(0, 1, 2, 4, 5, 3)",15
265,False,0.3382854958073952,1.9567060108197378,"(2, 1, 0, 3, 5, 4)",16
7,False,0.33839473424792965,1.9567309204318495,"(0, 1, 3, 2, 5, 4)",17
240,True,0.33745522268669603,1.9567440459493897,"(2, 0, 1, 3, 4, 5)",18
125,True,0.3386816127047197,1.9567620071730252,"(1, 0, 2, 5, 4, 3)",19
126,False,0.3377824230038386,1.9567987770572632,"(1, 0, 3, 2, 4, 5)",20
294,False,0.33795496312772033,1.956893413968812,"(2, 3, 1, 0, 4, 5)",21
22,False,0.33909361830016616,1.9568958228829025,"(0, 1, 5, 4, 2, 3)",22
305,False,0.33849632547406827,1.956911396010497,"(2, 3, 4, 5, 1, 0)",23
23,False,0.3384963254740683,1.9569113960104971,"(0, 1, 5, 4, 3, 2)",24
122,True,0.33768992264553066,1.957320711885908,"(1, 0, 2, 4, 3, 5)",25
124,True,0.3390665757722219,1.9573434919565682,"(1, 0, 2, 5, 3, 4)",26
119,False,0.3375184952816465,1.957372985932297,"(0, 5, 4, 3, 2, 1)",27
153,False,0.3375184952816465,1.957372985932297,"(1, 2, 3, 4, 5, 0)",28
19,False,0.3393147933373135,1.957473448726737,"(0, 1, 5, 2, 4, 3)",29
118,False,0.33834393479415603,1.9575511821041678,"(0, 5, 4, 3, 1, 2)",30
273,False,0.33834393479415603,1.957551182104168,"(2, 1, 3, 4, 5, 0)",31
151,False,0.33854146112559824,1.9576340715790999,"(1, 2, 3, 0, 5, 4)",32
30,False,0.3380847140439017,1.9577150678311954,"(0, 2, 3, 1, 4, 5)",33
