,is_well_nested,ms,ee,perm,i
120,True,0.6987997553180286,2.4199218517649737,"(1, 0, 2, 3, 4, 5)",0
0,True,0.65369349370219,2.424151089080725,"(0, 1, 2, 3, 4, 5)",1
122,True,0.6916632068598915,2.4312494219953873,"(1, 0, 2, 4, 3, 5)",2
2,True,0.7044894455753661,2.4354786593111375,"(0, 1, 2, 4, 3, 5)",3
124,True,0.733393883125388,2.4652151696008433,"(1, 0, 2, 5, 3, 4)",4
121,False,0.7248136072231552,2.466500458357295,"(1, 0, 2, 3, 5, 4)",5
4,True,0.7143906777706164,2.469444406916594,"(0, 1, 2, 5, 3, 4)",6
1,False,0.7069339193290619,2.470729695673046,"(0, 1, 2, 3, 5, 4)",7
144,False,0.7220232718962574,2.475068225476233,"(1, 2, 0, 3, 4, 5)",8
125,True,0.7463130300178964,2.478520543767533,"(1, 0, 2, 5, 4, 3)",9
132,False,0.7323302100610899,2.4816237207614638,"(1, 0, 4, 2, 3, 5)",10
138,False,0.7188299739142391,2.4823369869760494,"(1, 0, 5, 2, 3, 4)",11
5,True,0.7167890886800669,2.4827497810832835,"(0, 1, 2, 5, 4, 3)",12
126,False,0.7232359313769575,2.4831715944280415,"(1, 0, 3, 2, 4, 5)",13
264,True,0.7193618474343743,2.484006345279358,"(2, 1, 0, 3, 4, 5)",14
24,False,0.7160957080688926,2.484599632923445,"(0, 2, 1, 3, 4, 5)",15
12,False,0.7162235665256169,2.485852958077215,"(0, 1, 4, 2, 3, 5)",16
146,False,0.7404617370303864,2.4863957957066463,"(1, 2, 0, 4, 3, 5)",17
18,False,0.7204811732780816,2.486566224291799,"(0, 1, 5, 2, 3, 4)",18
6,False,0.7122762736149232,2.487400831743793,"(0, 1, 3, 2, 4, 5)",19
134,False,0.7045030134765901,2.487932005746831,"(1, 0, 4, 3, 2, 5)",20
240,True,0.7145444807966246,2.4893085154108183,"(2, 0, 1, 3, 4, 5)",21
123,False,0.7346920256321502,2.4911334027543983,"(1, 0, 2, 4, 5, 3)",22
14,False,0.7121529312689667,2.492161243062581,"(0, 1, 4, 3, 2, 5)",23
266,True,0.7160613726092373,2.4953339155097702,"(2, 1, 0, 4, 3, 5)",24
3,False,0.7365298784862433,2.4953626400701485,"(0, 1, 2, 4, 5, 3)",25
139,False,0.746944652806463,2.49564236114274,"(1, 0, 5, 2, 4, 3)",26
26,False,0.7171902320536538,2.495927203153858,"(0, 2, 1, 4, 3, 5)",27
19,False,0.7404847296304994,2.49987159845849,"(0, 1, 5, 2, 4, 3)",28
242,True,0.7329615803480336,2.500636085641231,"(2, 0, 1, 4, 3, 5)",29
128,False,0.7357384096811549,2.5008074496438226,"(1, 0, 3, 4, 2, 5)",30
8,False,0.7250038373936235,2.505036686959573,"(0, 1, 3, 4, 2, 5)",31
143,False,0.7218754119645757,2.515179790629107,"(1, 0, 5, 4, 3, 2)",32
304,False,0.7218754119645762,2.515179790629108,"(2, 3, 4, 5, 0, 1)",33
305,False,0.7387658485685312,2.519409027944858,"(2, 3, 4, 5, 1, 0)",34
23,False,0.7387658485685312,2.5194090279448584,"(0, 1, 5, 4, 3, 2)",35
148,False,0.759903337925711,2.5203615433121014,"(1, 2, 0, 5, 3, 4)",36
145,False,0.7461520383021476,2.521646832068554,"(1, 2, 0, 3, 5, 4)",37
302,False,0.7279052184328489,2.5226615232946186,"(2, 3, 4, 1, 0, 5)",38
300,False,0.7214596715846218,2.523500179094461,"(2, 3, 4, 0, 1, 5)",39
141,False,0.7504559154321949,2.525369486543492,"(1, 0, 5, 3, 4, 2)",40
328,False,0.750455915432195,2.525369486543492,"(2, 4, 3, 5, 0, 1)",41
140,False,0.7493524981257547,2.5267563886560565,"(1, 0, 5, 3, 2, 4)",42
216,False,0.7525772674758713,2.526910960118035,"(1, 5, 0, 2, 3, 4)",43
268,True,0.7400859011660743,2.5292996631152262,"(2, 1, 0, 5, 3, 4)",44
329,False,0.7324574860376886,2.529598723859243,"(2, 4, 3, 5, 1, 0)",45
21,False,0.7324574860376886,2.529598723859243,"(0, 1, 5, 3, 4, 2)",46
127,False,0.7404778529513113,2.529750201020363,"(1, 0, 3, 2, 5, 4)",47
142,False,0.7533373557531458,2.5298720669083608,"(1, 0, 5, 4, 2, 3)",48
28,False,0.7503815469100407,2.5298929507593138,"(0, 2, 1, 5, 3, 4)",49
96,False,0.727174735379846,2.5303015416339427,"(0, 5, 1, 2, 3, 4)",50
265,False,0.735342911006016,2.5305849518716785,"(2, 1, 0, 3, 5, 4)",51
20,False,0.7454112990567081,2.5309856259718067,"(0, 1, 5, 3, 2, 4)",52
25,False,0.7389057129593471,2.531178239515766,"(0, 2, 1, 3, 5, 4)",53
326,False,0.7252850903980981,2.5328512192090025,"(2, 4, 3, 1, 0, 5)",54
352,False,0.7478790782277996,2.5331237102265876,"(2, 5, 3, 4, 0, 1)",55
135,False,0.7478790782277996,2.533123710226588,"(1, 0, 4, 3, 5, 2)",56
149,False,0.7640914754203816,2.533666917478792,"(1, 2, 0, 5, 4, 3)",57
324,False,0.7409273306611345,2.5336898750088452,"(2, 4, 3, 0, 1, 5)",58
7,False,0.7514722354954039,2.533979438336113,"(0, 1, 3, 2, 5, 4)",59
22,False,0.7487779840934612,2.5341013042241123,"(0, 1, 5, 4, 2, 3)",60
244,True,0.7363793813879277,2.534601833246687,"(2, 0, 1, 5, 3, 4)",61
241,False,0.7446534681525641,2.535887122003139,"(2, 0, 1, 3, 5, 4)",62
15,False,0.7502814944321469,2.537352947542338,"(0, 1, 4, 3, 5, 2)",63
353,False,0.750281494432147,2.537352947542338,"(2, 5, 3, 4, 1, 0)",64
217,False,0.74591824698385,2.5402163342847244,"(1, 5, 0, 2, 4, 3)",65
133,False,0.7834415932424225,2.541507701520475,"(1, 0, 4, 2, 5, 3)",66
269,True,0.7289512137483537,2.5426050372819162,"(2, 1, 0, 5, 4, 3)",67
29,False,0.7540035933843905,2.543198324926004,"(0, 2, 1, 5, 4, 3)",68
97,False,0.755094799127318,2.543606915800633,"(0, 5, 1, 2, 4, 3)",69
13,False,0.7615480783110138,2.5457369388362254,"(0, 1, 4, 2, 5, 3)",70
129,False,0.7594090153086779,2.5459991541235785,"(1, 0, 3, 4, 5, 2)",71
358,False,0.7594090153086784,2.545999154123579,"(2, 5, 4, 3, 0, 1)",72
147,False,0.7763353693146564,2.5462797764656564,"(1, 2, 0, 4, 5, 3)",73
245,True,0.7584190923615338,2.5479072074133766,"(2, 0, 1, 5, 4, 3)",74
137,False,0.7634778550569581,2.5484322720199777,"(1, 0, 4, 5, 3, 2)",75
310,False,0.7634778550569583,2.548432272019978,"(2, 3, 5, 4, 0, 1)",76
9,False,0.7447444896618709,2.5502283914393287,"(0, 1, 3, 4, 5, 2)",77
359,False,0.7447444896618713,2.5502283914393296,"(2, 5, 4, 3, 1, 0)",78
150,False,0.7499267212272991,2.5515526773567627,"(1, 2, 3, 0, 4, 5)",79
17,False,0.7551684008240822,2.5526615093357288,"(0, 1, 4, 5, 3, 2)",80
311,False,0.7551684008240823,2.5526615093357288,"(2, 3, 5, 4, 1, 0)",81
267,False,0.7619240082222025,2.5552178962687813,"(2, 1, 0, 4, 5, 3)",82
27,False,0.7606931556834349,2.5558111839128688,"(0, 2, 1, 4, 5, 3)",83
221,False,0.7601147786324716,2.559753763771093,"(1, 5, 0, 4, 3, 2)",84
301,False,0.7601147786324721,2.559753763771094,"(2, 3, 4, 0, 5, 1)",85
270,False,0.7553202652207079,2.560490797159887,"(2, 1, 3, 0, 4, 5)",86
243,False,0.7590535470702867,2.560520066400242,"(2, 0, 1, 4, 5, 3)",87
136,False,0.7805261341552417,2.563124548299232,"(1, 0, 4, 5, 2, 3)",88
101,False,0.7542402980659734,2.563144345287001,"(0, 5, 1, 4, 3, 2)",89
303,False,0.7542402980659736,2.5631443452870015,"(2, 3, 4, 1, 5, 0)",90
152,False,0.7358401415034502,2.565087231205479,"(1, 2, 3, 4, 0, 5)",91
30,False,0.7566825018382226,2.566805512379437,"(0, 2, 3, 1, 4, 5)",92
192,False,0.7747523358850404,2.566889416186455,"(1, 4, 0, 2, 3, 5)",93
16,False,0.7632864265684047,2.5673537856149826,"(0, 1, 4, 5, 2, 3)",94
294,False,0.7652762626131956,2.5684896039512255,"(2, 3, 1, 0, 4, 5)",95
219,False,0.7668954525785219,2.5699434596854775,"(1, 5, 0, 3, 4, 2)",96
325,False,0.7668954525785224,2.5699434596854784,"(2, 4, 3, 0, 5, 1)",97
72,False,0.7547897721571202,2.5707582845346906,"(0, 4, 1, 2, 3, 5)",98
218,False,0.7711451829882972,2.571330361798042,"(1, 5, 0, 3, 2, 4)",99
131,False,0.7653054583483769,2.571497411831354,"(1, 0, 3, 5, 4, 2)",100
