,is_well_nested,ms,ee,perm,i
264,True,0.33761361668207335,1.9563111094106143,"(2, 1, 0, 3, 4, 5)",0
269,True,0.3371036545410899,1.9563111094735517,"(2, 1, 0, 5, 4, 3)",1
0,True,0.33715322003727455,1.9563111097591843,"(0, 1, 2, 3, 4, 5)",2
5,True,0.3366419416044474,1.9563111098221222,"(0, 1, 2, 5, 4, 3)",3
266,True,0.33761767821701005,1.9563119631081707,"(2, 1, 0, 4, 3, 5)",4
268,True,0.337109714257304,1.9563119631309858,"(2, 1, 0, 5, 3, 4)",5
2,True,0.3371553169748923,1.9563119634567412,"(0, 1, 2, 4, 3, 5)",6
4,True,0.3366472586346875,1.956311963479556,"(0, 1, 2, 5, 3, 4)",7
240,True,0.33761072012439086,1.9563130024720392,"(2, 0, 1, 3, 4, 5)",8
245,True,0.33710169292813474,1.956313002534977,"(2, 0, 1, 5, 4, 3)",9
120,True,0.3371482552717619,1.956313002870539,"(1, 0, 2, 3, 4, 5)",10
125,True,0.3366388358997958,1.9563130029334768,"(1, 0, 2, 5, 4, 3)",11
242,True,0.3376149144190811,1.9563138561695959,"(2, 0, 1, 4, 3, 5)",12
244,True,0.33710762731719224,1.9563138561924107,"(2, 0, 1, 5, 3, 4)",13
122,True,0.33714982465534055,1.9563138565680958,"(1, 0, 2, 4, 3, 5)",14
124,True,0.33664447946581233,1.9563138565909106,"(1, 0, 2, 5, 3, 4)",15
19,False,0.3366526313379,1.9563378620753915,"(0, 1, 5, 2, 4, 3)",16
18,False,0.3366529817637738,1.9563387157328258,"(0, 1, 5, 2, 3, 4)",17
139,False,0.3366529494358447,1.9563397551867463,"(1, 0, 5, 2, 4, 3)",18
138,False,0.3366536397319494,1.9563406088441806,"(1, 0, 5, 2, 3, 4)",19
343,False,0.33725603446907326,1.9563504332833048,"(2, 5, 1, 0, 4, 3)",20
342,False,0.3372559332568571,1.9563512869407393,"(2, 5, 1, 0, 3, 4)",21
8,False,0.33731746674255075,1.956352042599023,"(0, 1, 3, 4, 2, 5)",22
337,False,0.33725670966728233,1.956352326347811,"(2, 5, 0, 1, 4, 3)",23
14,False,0.337317661919591,1.9563528962665258,"(0, 1, 4, 3, 2, 5)",24
336,False,0.3372565663129857,1.9563531800052456,"(2, 5, 0, 1, 3, 4)",25
359,False,0.3373151649707411,1.9563536513399298,"(2, 5, 4, 3, 1, 0)",26
9,False,0.33731516497074143,1.9563536513399309,"(0, 1, 3, 4, 5, 2)",27
23,False,0.3371615795508745,1.9563536513837563,"(0, 1, 5, 4, 3, 2)",28
305,False,0.3371615795508747,1.956353651383757,"(2, 3, 4, 5, 1, 0)",29
128,False,0.3373178835468196,1.9563539357103772,"(1, 0, 3, 4, 2, 5)",30
353,False,0.337319583588326,1.9563545050074327,"(2, 5, 3, 4, 1, 0)",31
15,False,0.33731958358832625,1.9563545050074336,"(0, 1, 4, 3, 5, 2)",32
21,False,0.33716764224726636,1.9563545050576576,"(0, 1, 5, 3, 4, 2)",33
329,False,0.3371676422472666,1.9563545050576585,"(2, 4, 3, 5, 1, 0)",34
134,False,0.3373179927049314,1.95635478937788,"(1, 0, 4, 3, 2, 5)",35
129,False,0.3373155866576929,1.9563555444512855,"(1, 0, 3, 4, 5, 2)",36
358,False,0.3373155866576929,1.9563555444512855,"(2, 5, 4, 3, 0, 1)",37
143,False,0.33716200986704736,1.956355544495112,"(1, 0, 5, 4, 3, 2)",38
304,False,0.33716200986704753,1.9563555444951124,"(2, 3, 4, 5, 0, 1)",39
352,False,0.33732002523285504,1.9563563981187877,"(2, 5, 3, 4, 0, 1)",40
135,False,0.33732002523285515,1.956356398118788,"(1, 0, 4, 3, 5, 2)",41
141,False,0.33716807561739826,1.9563563981690135,"(1, 0, 5, 3, 4, 2)",42
328,False,0.3371680756173983,1.9563563981690137,"(2, 4, 3, 5, 0, 1)",43
302,False,0.33763226136119295,1.956364613936958,"(2, 3, 4, 1, 0, 5)",44
326,False,0.3376323295302438,1.9563654676108595,"(2, 4, 3, 1, 0, 5)",45
300,False,0.33763265810710613,1.9563665069995266,"(2, 3, 4, 0, 1, 5)",46
324,False,0.3376328884946421,1.9563673606734286,"(2, 4, 3, 0, 1, 5)",47
24,False,0.3389228903140291,1.9611593946804387,"(0, 2, 1, 3, 4, 5)",48
